iter	Logloss	Logloss:use_weights=true	Logloss:use_weights=false
0	0.6923190062	0.6923190062	0.6923528752
20	0.6769927161	0.6769927161	0.6773830853
40	0.662491502	0.662491502	0.6630722952
60	0.6484857455	0.6484857455	0.6493636617
80	0.6350719376	0.6350719376	0.6362212791
100	0.6218974388	0.6218974388	0.6232742469
120	0.6094734094	0.6094734094	0.6110058253
140	0.5975963517	0.5975963517	0.59932336
160	0.5858931269	0.5858931269	0.5877697389
180	0.5747447608	0.5747447608	0.5767662632
200	0.564199854	0.564199854	0.5662441528
220	0.5539116643	0.5539116643	0.5560211312
240	0.544236242	0.544236242	0.5463690974
260	0.5349506205	0.5349506205	0.5371603442
280	0.525627376	0.525627376	0.5279184326
300	0.5169899067	0.5169899067	0.5193321574
320	0.5089173855	0.5089173855	0.5112983961
340	0.5010185553	0.5010185553	0.5033823471
360	0.4933713262	0.4933713262	0.4957234179
380	0.4859592495	0.4859592495	0.4883062135
400	0.4789542397	0.4789542397	0.4812303986
420	0.4721508093	0.4721508093	0.4744054982
440	0.4656600153	0.4656600153	0.4679289504
460	0.4595487548	0.4595487548	0.4618131188
480	0.4535218706	0.4535218706	0.4557438985
500	0.4478218336	0.4478218336	0.4500175834
520	0.4422545605	0.4422545605	0.4443924963
540	0.4368495031	0.4368495031	0.4389810914
560	0.431628688	0.431628688	0.4337042149
580	0.4265439408	0.4265439408	0.4285784933
600	0.4216920366	0.4216920366	0.4237098916
620	0.4172064145	0.4172064145	0.4191531684
640	0.4126716942	0.4126716942	0.4145715289
660	0.4084617606	0.4084617606	0.4103313264
680	0.4044394443	0.4044394443	0.4062801268
700	0.4005002609	0.4005002609	0.4022753489
720	0.3965696395	0.3965696395	0.3982817028
740	0.3928048219	0.3928048219	0.3944835493
760	0.3891471534	0.3891471534	0.3907645022
780	0.3856701035	0.3856701035	0.3872169314
800	0.3821784165	0.3821784165	0.3836830503
820	0.3788433319	0.3788433319	0.3802900688
840	0.3755495296	0.3755495296	0.3769295352
860	0.3724759583	0.3724759583	0.3737820917
880	0.369340286	0.369340286	0.3705926554
900	0.3663896732	0.3663896732	0.3676014354
920	0.363528517	0.363528517	0.3646838744
940	0.3608531308	0.3608531308	0.3619411292
960	0.3582541984	0.3582541984	0.359263493
980	0.3556372895	0.3556372895	0.3565792725
1000	0.3531144201	0.3531144201	0.3540197275
1020	0.3507378149	0.3507378149	0.3515912057
1040	0.3482543093	0.3482543093	0.3490441189
1060	0.3457800762	0.3457800762	0.3464959425
1080	0.343502733	0.343502733	0.3441527799
1100	0.3413224492	0.3413224492	0.341897345
1120	0.3391961308	0.3391961308	0.3397329299
1140	0.3370179786	0.3370179786	0.337504898
1160	0.3348775204	0.3348775204	0.3353021612
1180	0.332889437	0.332889437	0.3332734587
1200	0.3308984759	0.3308984759	0.3312181348
1220	0.3290056755	0.3290056755	0.3292821337
1240	0.3270262251	0.3270262251	0.3272296045
1260	0.3251660384	0.3251660384	0.3253320436
1280	0.3234417774	0.3234417774	0.3235678504
1300	0.3217040518	0.3217040518	0.3217725121
1320	0.3201036731	0.3201036731	0.3201321183
1340	0.3184256681	0.3184256681	0.3184111258
1360	0.3167578949	0.3167578949	0.3166887833
1380	0.3151924036	0.3151924036	0.3150581002
1400	0.313654481	0.313654481	0.3134641518
1420	0.3121095953	0.3121095953	0.3118630743
1440	0.3105928468	0.3105928468	0.3103024028
1460	0.309123953	0.309123953	0.3087787266
1480	0.3076232626	0.3076232626	0.3072466186
1500	0.3061924891	0.3061924891	0.3057545376
1520	0.3048036729	0.3048036729	0.3043241312
1540	0.3033905207	0.3033905207	0.3028611822
1560	0.3019914372	0.3019914372	0.3014147177
1580	0.300584893	0.300584893	0.2999541846
1600	0.2992445709	0.2992445709	0.2985708631
1620	0.2979754092	0.2979754092	0.2972797694
1640	0.2967094448	0.2967094448	0.2959785387
1660	0.2954232301	0.2954232301	0.2946445997
1680	0.2941805004	0.2941805004	0.2933570823
1700	0.2929451957	0.2929451957	0.2920763625
1720	0.2916769043	0.2916769043	0.2907554973
1740	0.2904987446	0.2904987446	0.2895414022
1760	0.2893455958	0.2893455958	0.2883611523
1780	0.288171504	0.288171504	0.2871518888
1800	0.2870059741	0.2870059741	0.2859402569
1820	0.2859111249	0.2859111249	0.2848033024
1840	0.2847538727	0.2847538727	0.2836111392
1860	0.2836642637	0.2836642637	0.2824856718
1880	0.2826378926	0.2826378926	0.2814256448
1900	0.2815792985	0.2815792985	0.280331891
1920	0.2805557517	0.2805557517	0.2792710114
1940	0.2794922017	0.2794922017	0.2781791524
1960	0.2784222391	0.2784222391	0.2770923619
1980	0.2774159761	0.2774159761	0.276059359
2000	0.2764420248	0.2764420248	0.2750522671
2020	0.2754989109	0.2754989109	0.2740946523
2040	0.2745724057	0.2745724057	0.2731441665
2060	0.2735931254	0.2735931254	0.2721370746
2080	0.2726497628	0.2726497628	0.2711769492
2100	0.2717024034	0.2717024034	0.2702040815
2120	0.2707625757	0.2707625757	0.2692550641
2140	0.2698579373	0.2698579373	0.2683347051
2160	0.2690080814	0.2690080814	0.2674744339
2180	0.2681631281	0.2681631281	0.2666144469
2200	0.2672914054	0.2672914054	0.2657255173
2220	0.2664245321	0.2664245321	0.264840851
2240	0.2655465922	0.2655465922	0.2639408844
2260	0.264717857	0.264717857	0.263104961
2280	0.2638495449	0.2638495449	0.2622222841
2300	0.262974003	0.262974003	0.2613290676
2320	0.2621675254	0.2621675254	0.2605113576
2340	0.261402028	0.261402028	0.2597393825
2360	0.2605568794	0.2605568794	0.2588848903
2380	0.259703453	0.259703453	0.258025898
2400	0.2589016471	0.2589016471	0.2572103907
2420	0.2581175692	0.2581175692	0.2564234469
2440	0.2573338643	0.2573338643	0.255632311
2460	0.2565290209	0.2565290209	0.254814222
2480	0.2557919805	0.2557919805	0.2540726578
2500	0.2550296983	0.2550296983	0.2533044249
2520	0.2543197827	0.2543197827	0.2525909507
2540	0.2535811792	0.2535811792	0.2518473497
2560	0.2528753669	0.2528753669	0.2511338991
2580	0.2521270645	0.2521270645	0.2503766558
2600	0.2513870399	0.2513870399	0.2496333391
2620	0.2506719019	0.2506719019	0.248912191
2640	0.2499636738	0.2499636738	0.2482014879
2660	0.2492808296	0.2492808296	0.2475152983
2680	0.2486065475	0.2486065475	0.2468438406
2700	0.2478970582	0.2478970582	0.2461344875
2720	0.2472078903	0.2472078903	0.2454392741
2740	0.2465447636	0.2465447636	0.2447813402
2760	0.2458634649	0.2458634649	0.2440990823
2780	0.2452128614	0.2452128614	0.2434532512
2800	0.2445264823	0.2445264823	0.2427680327
2820	0.2438318965	0.2438318965	0.2420729614
2840	0.2431750225	0.2431750225	0.2414169933
2860	0.2424912902	0.2424912902	0.2407356117
2880	0.2418328708	0.2418328708	0.2400806621
2900	0.2412054308	0.2412054308	0.2394603867
2920	0.2405845633	0.2405845633	0.2388407745
2940	0.2399199089	0.2399199089	0.2381749062
2960	0.239328511	0.239328511	0.2375887366
2980	0.2387067908	0.2387067908	0.2369667323
3000	0.2380978958	0.2380978958	0.2363628703
3020	0.2374913101	0.2374913101	0.2357572556
3040	0.2368878508	0.2368878508	0.2351603569
3060	0.2362903067	0.2362903067	0.234566774
3080	0.2357168142	0.2357168142	0.2340058048
3100	0.2350942414	0.2350942414	0.2333859084
3120	0.2345176759	0.2345176759	0.2328140205
3140	0.2339177159	0.2339177159	0.2322148955
3160	0.2333912078	0.2333912078	0.2316933374
3180	0.2327996144	0.2327996144	0.231109702
3200	0.2321592782	0.2321592782	0.2304702184
3220	0.2315621959	0.2315621959	0.2298783882
3240	0.2310017418	0.2310017418	0.2293263955
3260	0.2304026345	0.2304026345	0.2287311783
3280	0.2298268506	0.2298268506	0.2281592195
3300	0.2291816827	0.2291816827	0.2275218675
3320	0.2286479626	0.2286479626	0.2269947909
3340	0.2280500632	0.2280500632	0.2264018238
3360	0.2274679555	0.2274679555	0.2258258623
3380	0.226898975	0.226898975	0.2252688247
3400	0.2263374906	0.2263374906	0.2247149845
3420	0.2257890801	0.2257890801	0.2241717314
3440	0.2252535659	0.2252535659	0.2236455311
3460	0.2247477521	0.2247477521	0.2231499787
3480	0.2241925916	0.2241925916	0.2226003544
3500	0.2236506648	0.2236506648	0.2220652251
3520	0.2230926798	0.2230926798	0.2215095375
3540	0.222566296	0.222566296	0.2209888557
3560	0.2220025734	0.2220025734	0.2204367446
3580	0.2214443753	0.2214443753	0.2198802991
3600	0.220931847	0.220931847	0.2193733781
3620	0.2204077369	0.2204077369	0.2188644676
3640	0.2198862558	0.2198862558	0.218352407
3660	0.2193657161	0.2193657161	0.2178388306
3680	0.2188586589	0.2188586589	0.2173428992
3700	0.2183138011	0.2183138011	0.2168062778
3720	0.2177884831	0.2177884831	0.2162949041
3740	0.2172619927	0.2172619927	0.2157725407
3760	0.2167819715	0.2167819715	0.2153048177
3780	0.2162640963	0.2162640963	0.2148004546
3800	0.2157528825	0.2157528825	0.2143009469
3820	0.2152581531	0.2152581531	0.2138215473
3840	0.2147719324	0.2147719324	0.2133432373
3860	0.2142869019	0.2142869019	0.2128665852
3880	0.2137812835	0.2137812835	0.2123662721
3900	0.2132682401	0.2132682401	0.2118624301
3920	0.2127870642	0.2127870642	0.2113883833
3940	0.2122639133	0.2122639133	0.2108775543
3960	0.21176993	0.21176993	0.2103950284
3980	0.2112799079	0.2112799079	0.2099181395
4000	0.210787026	0.210787026	0.209437532
4020	0.2102937887	0.2102937887	0.208957043
4040	0.2098047614	0.2098047614	0.208473996
4060	0.2093564301	0.2093564301	0.208030976
4080	0.2088797484	0.2088797484	0.207560695
4100	0.20837008	0.20837008	0.2070654032
4120	0.2079150874	0.2079150874	0.2066207489
4140	0.2074281917	0.2074281917	0.2061410652
4160	0.2070192952	0.2070192952	0.2057456985
4180	0.2065549591	0.2065549591	0.2052891546
4200	0.2060759148	0.2060759148	0.2048221895
4220	0.2055963909	0.2055963909	0.2043540401
4240	0.2051418247	0.2051418247	0.2039094095
4260	0.2046634732	0.2046634732	0.2034460444
4280	0.2041791176	0.2041791176	0.2029708134
4300	0.203720679	0.203720679	0.2025248328
4320	0.2032356662	0.2032356662	0.2020505491
4340	0.2027791815	0.2027791815	0.2016025317
4360	0.2023003859	0.2023003859	0.201138314
4380	0.2018257114	0.2018257114	0.2006760147
4400	0.2013872033	0.2013872033	0.2002450264
4420	0.2009739904	0.2009739904	0.1998412991
4440	0.2005065278	0.2005065278	0.1993857736
4460	0.2000256717	0.2000256717	0.1989147111
4480	0.1995475156	0.1995475156	0.1984482196
4500	0.1991168945	0.1991168945	0.1980229038
4520	0.1986700553	0.1986700553	0.1975874274
4540	0.198224655	0.198224655	0.1971566523
4560	0.197778331	0.197778331	0.1967232363
4580	0.1973601265	0.1973601265	0.1963133984
4600	0.1969617992	0.1969617992	0.1959221647
4620	0.1964770529	0.1964770529	0.1954461758
4640	0.1960317592	0.1960317592	0.1950126177
4660	0.1955713843	0.1955713843	0.1945650976
4680	0.1951244918	0.1951244918	0.1941325699
4700	0.1947241751	0.1947241751	0.1937414546
4720	0.1942577962	0.1942577962	0.1932832409
4740	0.1938265888	0.1938265888	0.1928668779
