iter	Passed	Remaining
0	145	2903749
1	254	2548189
2	357	2386044
3	474	2369727
4	584	2338682
5	693	2310717
6	805	2301372
7	917	2293850
8	1026	2278987
9	1135	2269116
10	1237	2249125
11	1347	2244817
12	1456	2240037
13	1568	2238763
14	1671	2227595
15	1778	2220912
16	1892	2224675
17	1999	2219975
18	2108	2217160
19	2214	2212587
20	2329	2216231
21	2435	2211336
22	2542	2208200
23	2651	2206614
24	2762	2207114
25	2876	2210180
26	2988	2210618
27	3096	2208841
28	3204	2206994
29	3309	2203016
30	3421	2204155
31	3535	2206232
32	3649	2207889
33	3758	2207153
34	3873	2209624
35	3983	2208878
36	4097	2210694
37	4209	2211074
38	4312	2207138
39	4427	2209255
40	4542	2211237
41	4642	2206254
42	4753	2205969
43	4857	2203294
44	4965	2202070
45	5066	2197764
46	5176	2197705
47	5288	2198352
48	5408	2202286
49	5517	2201404
50	5628	2201607
51	5740	2202223
52	5840	2198252
53	5952	2198524
54	6072	2202115
55	6184	2202590
56	6296	2203101
57	6417	2206438
58	6526	2205814
59	6631	2203812
60	6746	2205088
61	6855	2204554
62	6968	2205305
63	7071	2202893
64	7181	2202636
65	7295	2203428
66	7409	2204280
67	7523	2205284
68	7641	2207317
69	7748	2206098
70	7861	2206692
71	7972	2206612
72	8087	2207759
73	8197	2207243
74	8311	2207982
75	8418	2207023
76	8526	2206107
77	8642	2207260
78	8757	2208260
79	8867	2208105
80	8981	2208753
81	9097	2209881
82	9206	2209313
83	9317	2209126
84	9432	2210038
85	9544	2210146
86	9654	2209714
87	9769	2210498
88	9881	2210680
89	9996	2211399
90	10109	2211827
91	10223	2212228
92	10335	2212315
93	10447	2212371
94	10564	2213495
95	10679	2214156
96	10781	2212218
97	10891	2211842
98	10998	2210993
99	11103	2209621
100	11218	2210329
101	11328	2209906
102	11433	2208701
103	11554	2210387
104	11665	2210426
105	11776	2210230
106	11886	2209839
107	11999	2210217
108	12110	2210089
109	12221	2209822
110	12333	2209993
111	12442	2209455
112	12558	2210259
113	12668	2209798
114	12785	2210777
115	12892	2209870
116	13006	2210335
117	13117	2210148
118	13234	2210994
119	13349	2211507
120	13461	2211615
121	13567	2210648
122	13682	2211121
123	13797	2211558
124	13909	2211586
125	14022	2211766
126	14142	2213010
127	14266	2214894
128	14389	2216567
129	14510	2217819
130	14616	2216933
131	14730	2217169
132	14843	2217208
133	14957	2217443
134	15072	2217839
135	15183	2217662
136	15289	2216757
137	15400	2216497
138	15514	2216853
139	15627	2216887
140	15739	2216850
141	15853	2217084
142	15968	2217330
143	16081	2217464
144	16194	2217580
145	16306	2217473
146	16417	2217311
147	16532	2217600
148	16644	2217476
149	16754	2217190
150	16866	2217158
151	16973	2216348
152	17082	2215962
153	17189	2215154
154	17305	2215611
155	17422	2216199
156	17543	2217239
157	17658	2217620
158	17767	2217100
159	17885	2217747
160	17991	2217012
161	18104	2217032
162	18221	2217533
163	18331	2217253
164	18444	2217307
165	18558	2217460
166	18670	2217375
167	18790	2218184
168	18910	2219077
169	19034	2220352
170	19153	2220969
171	19267	2221126
172	19370	2219950
173	19480	2219611
174	19590	2219346
175	19704	2219466
176	19813	2219015
177	19925	2218902
178	20031	2218178
179	20144	2218094
180	20258	2218204
181	20375	2218682
182	20480	2217846
183	20585	2216943
184	20700	2217142
185	20810	2216878
186	20920	2216549
187	21029	2216147
188	21148	2216739
189	21261	2216750
190	21369	2216278
191	21472	2215296
192	21586	2215402
193	21699	2215361
194	21810	2215154
195	21915	2214341
196	22026	2214119
197	22130	2213323
198	22251	2214047
199	22365	2214159
200	22478	2214219
201	22585	2213558
202	22698	2213600
203	22805	2213060
204	22919	2213092
205	23024	2212333
206	23144	2213013
207	23258	2213122
208	23372	2213203
209	23485	2213209
210	23588	2212251
211	23694	2211619
212	23810	2211937
213	23920	2211595
214	24032	2211584
215	24137	2210782
216	24247	2210529
217	24361	2210678
218	24478	2210958
219	24586	2210526
220	24707	2211246
221	24820	2211267
222	24935	2211421
223	25033	2210121
224	25148	2210289
225	25256	2209858
226	25367	2209654
227	25488	2210362
228	25603	2210500
229	25716	2210458
230	25830	2210579
231	25950	2211139
232	26062	2211093
233	26177	2211238
234	26291	2211306
235	26398	2210736
236	26506	2210355
237	26621	2210453
238	26731	2210181
239	26844	2210160
240	26951	2209721
241	27057	2209079
242	27168	2208945
243	27277	2208611
244	27381	2207826
245	27487	2207283
246	27600	2207221
247	27715	2207381
248	27825	2207178
249	27943	2207555
250	28061	2207906
251	28175	2207956
252	28289	2207999
253	28399	2207794
254	28517	2208117
255	28630	2208151
256	28745	2208260
257	28862	2208571
258	28977	2208641
259	29084	2208194
260	29202	2208500
261	29313	2208360
262	29425	2208231
263	29537	2208135
264	29653	2208383
265	29765	2208218
266	29877	2208117
267	29992	2208226
268	30107	2208373
269	30224	2208626
270	30338	2208661
271	30443	2208021
272	30550	2207573
273	30665	2207717
274	30784	2208121
275	30891	2207612
276	31004	2207586
277	31128	2208305
278	31245	2208606
279	31360	2208683
280	31482	2209246
281	31593	2209060
282	31702	2208778
283	31815	2208735
284	31930	2208826
285	32048	2209097
286	32168	2209543
287	32283	2209642
288	32404	2210116
289	32518	2210132
290	32633	2210199
291	32747	2210237
292	32858	2210065
293	32970	2209904
294	33077	2209449
295	33189	2209376
296	33303	2209380
297	33415	2209255
298	33526	2209066
299	33641	2209111
300	33755	2209156
301	33875	2209566
302	33990	2209601
303	34105	2209709
304	34222	2209872
305	34331	2209564
306	34443	2209416
307	34552	2209111
308	34664	2208976
309	34782	2209226
310	34893	2209078
311	35004	2208874
312	35126	2209402
313	35242	2209529
314	35354	2209359
315	35458	2208767
316	35569	2208539
317	35684	2208637
318	35791	2208205
319	35904	2208144
320	36023	2208428
321	36136	2208374
322	36249	2208323
323	36364	2208363
324	36473	2208053
325	36589	2208181
326	36711	2208652
327	36824	2208545
328	36932	2208209
329	37050	2208417
330	37161	2208245
331	37273	2208098
332	37381	2207769
333	37495	2207753
334	37608	2207671
335	37733	2208288
336	37841	2207931
337	37956	2208014
338	38063	2207577
339	38170	2207173
340	38278	2206795
341	38399	2207198
342	38513	2207193
343	38619	2206712
344	38733	2206711
345	38854	2207042
346	38964	2206802
347	39077	2206730
348	39184	2206342
349	39294	2206116
350	39409	2206164
351	39525	2206238
352	39643	2206428
353	39764	2206819
354	39874	2206568
355	39983	2206275
356	40098	2206296
357	40219	2206674
358	40329	2206453
359	40433	2205888
360	40549	2205978
361	40664	2206000
362	40766	2205316
363	40877	2205130
364	40999	2205552
365	41110	2205345
366	41223	2205281
367	41338	2205330
368	41447	2205048
369	41564	2205180
370	41670	2204698
371	41784	2204710
372	41895	2204536
373	42007	2204356
374	42120	2204331
375	42232	2204173
376	42346	2204174
377	42458	2204041
378	42578	2204294
379	42694	2204373
380	42803	2204091
381	42909	2203650
382	43015	2203204
383	43137	2203606
384	43255	2203776
385	43358	2203195
386	43469	2203017
387	43573	2202496
388	43677	2201932
389	43789	2201829
390	43903	2201822
391	44007	2201296
392	44118	2201095
393	44231	2201018
394	44348	2201145
395	44458	2200943
396	44568	2200692
397	44676	2200351
398	44789	2200279
399	44902	2200245
400	45017	2200251
401	45122	2199762
402	45245	2200184
403	45358	2200116
404	45467	2199865
405	45576	2199564
406	45682	2199160
407	45795	2199085
408	45918	2199461
409	46033	2199513
410	46147	2199483
411	46258	2199298
412	46373	2199331
413	46489	2199385
414	46600	2199218
415	46711	2199028
416	46821	2198823
417	46931	2198576
418	47046	2198604
419	47158	2198497
420	47282	2198905
421	47400	2199054
422	47515	2199075
423	47627	2198937
424	47740	2198848
425	47846	2198483
426	47966	2198694
427	48083	2198795
428	48194	2198648
429	48309	2198648
430	48418	2198392
431	48534	2198439
432	48644	2198232
433	48754	2197978
434	48862	2197697
435	48969	2197325
436	49091	2197657
437	49204	2197575
438	49321	2197657
439	49430	2197391
440	49543	2197344
441	49658	2197346
442	49780	2197660
443	49890	2197411
444	50006	2197464
445	50119	2197385
446	50234	2197375
447	50350	2197439
448	50461	2197245
449	50570	2197013
450	50685	2196992
451	50809	2197406
452	50931	2197700
453	51042	2197538
454	51164	2197805
455	51275	2197659
456	51382	2197293
457	51505	2197640
458	51617	2197493
459	51738	2197761
460	51860	2198037
461	51973	2197973
462	52087	2197926
463	52205	2198040
464	52314	2197789
465	52419	2197355
466	52525	2196958
467	52638	2196869
468	52751	2196796
469	52857	2196389
470	52974	2196489
471	53088	2196406
472	53208	2196632
473	53322	2196588
474	53428	2196209
475	53545	2196270
476	53655	2196053
477	53764	2195785
478	53870	2195439
479	53992	2195694
480	54104	2195576
481	54219	2195553
482	54334	2195551
483	54445	2195383
484	54556	2195192
485	54670	2195133
486	54785	2195148
487	54884	2194479
488	55001	2194566
489	55114	2194468
490	55237	2194768
491	55344	2194413
492	55449	2194009
493	55563	2193966
494	55673	2193758
495	55779	2193386
496	55890	2193233
497	55990	2192605
498	56098	2192353
499	56213	2192331
500	56324	2192154
501	56440	2192201
502	56555	2192174
503	56670	2192150
504	56786	2192179
505	56898	2192050
506	57012	2191999
507	57133	2192208
508	57253	2192387
509	57375	2192648
510	57491	2192666
511	57600	2192421
512	57706	2192041
513	57814	2191759
514	57925	2191599
515	58046	2191804
516	58167	2192033
517	58280	2191943
518	58398	2192014
519	58512	2191951
520	58630	2192070
521	58740	2191836
522	58856	2191882
523	58970	2191808
524	59085	2191804
525	59200	2191756
526	59310	2191578
527	59421	2191395
528	59533	2191276
529	59646	2191178
530	59766	2191333
531	59878	2191193
532	60000	2191428
533	60120	2191582
534	60228	2191316
535	60337	2191074
536	60441	2190653
537	60552	2190473
538	60673	2190666
539	60793	2190820
540	60906	2190719
541	61014	2190456
542	61121	2190146
543	61229	2189864
544	61343	2189786
545	61452	2189541
546	61567	2189527
547	61670	2189065
548	61779	2188824
549	61886	2188547
550	61999	2188424
551	62115	2188461
552	62224	2188206
553	62335	2188052
554	62448	2187952
555	62560	2187821
556	62668	2187563
557	62778	2187333
558	62887	2187113
559	63004	2187139
560	63123	2187261
561	63237	2187223
562	63347	2187014
563	63462	2186964
564	63572	2186787
565	63686	2186735
566	63797	2186546
567	63905	2186286
568	64020	2186251
569	64132	2186145
570	64250	2186218
571	64355	2185834
572	64472	2185873
573	64588	2185894
574	64702	2185822
575	64813	2185649
576	64917	2185270
577	65029	2185139
578	65146	2185150
579	65260	2185112
580	65367	2184791
581	65469	2184356
582	65591	2184538
583	65702	2184369
584	65810	2184124
585	65925	2184100
586	66036	2183934
587	66145	2183695
588	66251	2183367
589	66367	2183364
590	66480	2183280
591	66585	2182932
592	66698	2182838
593	66814	2182839
594	66928	2182785
595	67035	2182471
596	67148	2182396
597	67260	2182264
598	67381	2182418
599	67493	2182277
600	67611	2182340
601	67724	2182248
602	67838	2182191
603	67950	2182069
604	68061	2181890
605	68172	2181755
606	68284	2181607
607	68396	2181499
608	68511	2181452
609	68622	2181309
610	68730	2181037
611	68845	2180994
612	68959	2180957
613	69069	2180765
614	69182	2180639
615	69284	2180206
616	69401	2180243
617	69517	2180249
618	69634	2180266
619	69753	2180374
620	69869	2180351
621	69974	2180015
622	70087	2179897
623	70212	2180180
624	70325	2180097
625	70435	2179906
626	70551	2179891
627	70665	2179827
628	70781	2179807
629	70884	2179413
630	70995	2179248
631	71116	2179407
632	71227	2179243
633	71343	2179252
634	71454	2179088
635	71566	2178956
636	71688	2179139
637	71808	2179249
638	71923	2179192
639	72033	2179019
640	72151	2179052
641	72268	2179072
642	72379	2178925
643	72493	2178845
644	72612	2178927
645	72726	2178857
646	72826	2178382
647	72936	2178187
648	73049	2178098
649	73152	2177691
650	73261	2177468
651	73364	2177073
652	73478	2177019
653	73593	2176963
654	73702	2176758
655	73811	2176537
656	73927	2176535
657	74038	2176381
658	74146	2176133
659	74258	2176013
660	74369	2175851
661	74483	2175775
662	74598	2175742
663	74711	2175643
664	74823	2175514
665	74936	2175415
666	75056	2175501
667	75168	2175392
668	75284	2175360
669	75391	2175089
670	75502	2174934
671	75602	2174471
672	75723	2174593
673	75834	2174439
674	75948	2174389
675	76055	2174102
676	76169	2174025
677	76283	2173971
678	76392	2173762
679	76504	2173629
680	76619	2173585
681	76733	2173527
682	76848	2173479
683	76959	2173329
684	77078	2173374
685	77187	2173165
686	77297	2172994
687	77410	2172887
688	77519	2172690
689	77642	2172873
690	77755	2172752
691	77864	2172555
692	77972	2172310
693	78091	2172370
694	78202	2172239
695	78309	2171955
696	78416	2171705
697	78528	2171582
698	78631	2171205
699	78744	2171108
700	78861	2171098
701	78973	2170975
702	79075	2170573
703	79198	2170748
704	79311	2170655
705	79429	2170694
706	79547	2170737
707	79666	2170803
708	79785	2170864
709	79900	2170812
710	80008	2170581
711	80118	2170410
712	80235	2170412
713	80348	2170317
714	80474	2170549
715	80594	2170653
716	80714	2170732
717	80824	2170556
718	80936	2170421
719	81035	2169956
720	81146	2169804
721	81259	2169699
722	81372	2169606
723	81486	2169529
724	81596	2169345
725	81707	2169193
726	81811	2168842
727	81923	2168727
728	82038	2168687
729	82151	2168575
730	82262	2168433
731	82373	2168257
732	82486	2168180
733	82609	2168342
734	82730	2168431
735	82841	2168293
736	82959	2168313
737	83060	2167898
738	83168	2167670
739	83280	2167537
740	83395	2167483
741	83517	2167627
742	83628	2167471
743	83740	2167346
744	83861	2167446
745	83970	2167252
746	84084	2167162
747	84187	2166820
748	84294	2166556
749	84399	2166266
750	84508	2166060
751	84626	2166087
752	84739	2165969
753	84857	2166002
754	84975	2166034
755	85090	2165970
756	85215	2166196
757	85327	2166069
758	85441	2165974
759	85556	2165940
760	85667	2165781
761	85774	2165527
762	85884	2165355
763	85995	2165200
764	86109	2165113
765	86212	2164760
766	86319	2164526
767	86441	2164635
768	86553	2164504
769	86665	2164380
770	86775	2164216
771	86885	2164042
772	86989	2163697
773	87098	2163512
774	87210	2163383
775	87322	2163256
776	87438	2163223
777	87549	2163090
778	87653	2162768
779	87761	2162522
780	87879	2162550
781	87998	2162599
782	88111	2162506
783	88217	2162239
784	88330	2162139
785	88440	2161960
786	88551	2161794
787	88661	2161628
788	88780	2161675
789	88893	2161578
790	89004	2161416
791	89117	2161314
792	89232	2161277
793	89346	2161195
794	89460	2161122
795	89572	2160992
796	89677	2160702
797	89786	2160498
798	89897	2160353
799	90014	2160346
800	90121	2160108
801	90234	2159998
802	90348	2159925
803	90451	2159581
804	90569	2159602
805	90688	2159649
806	90802	2159573
807	90908	2159300
808	91017	2159095
809	91135	2159126
810	91255	2159185
811	91370	2159145
812	91476	2158867
813	91586	2158692
814	91702	2158671
815	91809	2158412
816	91922	2158315
817	92035	2158214
818	92148	2158119
819	92266	2158129
820	92383	2158122
821	92504	2158210
822	92620	2158176
823	92722	2157815
824	92828	2157565
825	92945	2157561
826	93049	2157234
827	93164	2157184
828	93277	2157093
829	93397	2157136
830	93511	2157055
831	93626	2157005
832	93741	2156948
833	93851	2156781
834	93959	2156568
835	94066	2156320
836	94183	2156315
837	94295	2156192
838	94406	2156035
839	94520	2155956
840	94633	2155875
841	94748	2155819
842	94867	2155851
843	94975	2155632
844	95100	2155800
845	95216	2155753
846	95327	2155617
847	95436	2155420
848	95549	2155322
849	95674	2155496
850	95792	2155502
851	95912	2155547
852	96027	2155505
853	96143	2155458
854	96251	2155242
855	96364	2155146
856	96472	2154933
857	96584	2154794
858	96696	2154685
859	96809	2154568
860	96918	2154385
861	97030	2154256
862	97142	2154139
863	97255	2154018
864	97369	2153950
865	97473	2153655
866	97595	2153746
867	97703	2153526
868	97821	2153533
869	97939	2153543
870	98056	2153521
871	98169	2153425
872	98278	2153225
873	98387	2153037
874	98493	2152792
875	98606	2152687
876	98710	2152380
877	98827	2152362
878	98936	2152181
879	99041	2151911
880	99155	2151824
881	99265	2151649
882	99377	2151530
883	99489	2151405
884	99602	2151301
885	99717	2151250
886	99840	2151361
887	99944	2151054
888	100052	2150853
889	100166	2150762
890	100282	2150726
891	100394	2150608
892	100503	2150416
893	100611	2150208
894	100724	2150111
895	100835	2149954
896	100939	2149657
897	101045	2149406
898	101164	2149433
899	101278	2149345
900	101391	2149256
901	101499	2149047
902	101615	2149000
903	101724	2148807
904	101839	2148752
905	101951	2148643
906	102067	2148595
907	102172	2148319
908	102290	2148328
909	102402	2148198
910	102516	2148130
911	102631	2148056
912	102745	2147982
913	102857	2147853
914	102966	2147663
915	103078	2147553
916	103193	2147489
917	103308	2147416
918	103423	2147349
919	103529	2147111
920	103640	2146958
921	103758	2146958
922	103873	2146916
923	103992	2146933
924	104102	2146754
925	104211	2146585
926	104323	2146445
927	104432	2146262
928	104539	2146037
929	104650	2145899
930	104753	2145587
931	104867	2145506
932	104981	2145419
933	105088	2145197
934	105203	2145136
935	105317	2145052
936	105430	2144961
937	105547	2144934
938	105667	2144977
939	105783	2144928
940	105892	2144753
941	106001	2144563
942	106118	2144530
943	106235	2144512
944	106355	2144551
945	106471	2144519
946	106585	2144429
947	106700	2144362
948	106812	2144238
949	106910	2143832
950	107015	2143570
951	107124	2143398
952	107236	2143261
953	107352	2143218
954	107455	2142913
955	107575	2142964
956	107680	2142703
957	107797	2142674
958	107895	2142261
959	108018	2142362
960	108127	2142174
961	108236	2142006
962	108338	2141687
963	108448	2141515
964	108566	2141517
965	108679	2141414
966	108783	2141135
967	108899	2141099
968	109014	2141027
969	109126	2140895
970	109239	2140794
971	109353	2140717
972	109460	2140489
973	109569	2140318
974	109671	2140001
975	109784	2139888
976	109895	2139766
977	110007	2139634
978	110118	2139490
979	110241	2139579
980	110353	2139467
981	110461	2139260
982	110566	2139015
983	110676	2138841
984	110783	2138636
985	110891	2138428
986	111006	2138361
987	111121	2138302
988	111241	2138330
989	111350	2138145
990	111467	2138138
991	111590	2138227
992	111706	2138177
993	111818	2138057
994	111925	2137840
995	112037	2137704
996	112149	2137583
997	112261	2137467
998	112373	2137344
999	112478	2137094
1000	112594	2137037
1001	112701	2136831
1002	112818	2136808
1003	112932	2136710
1004	113038	2136479
1005	113152	2136392
